unfall_id,strasse
1,Diffenéstraße
3,Steubenstraße
6,Viehhofstraße
7,Helmertstraße
9,Neckarauer Straße
11,Ludwig-Jolly-Straße
12,Relaisstraße
15,Seckenheimer Hauptstraße
16,Carl-Benz-Straße
18,Birkenauer Straße
19,Karlsplatz
20,Relaisstraße
21,Steubenstraße
23,Herzogenriedstraße
24,Speckweg
25,Käfertaler Straße
26,Viernheimer Weg
28,Dudenstraße
29,Augustaanlage
30,Weinheimer Straße
31,Theodor-Heuss-Anlage
34,Friedrichsring
35,Sonderburger Straße
36,Schönauer Straße
37,Relaisstraße
38,Diffenéstraße
42,Auf dem Sand
47,Augustaanlage
48,Schwetzinger Straße
49,Waldhofstraße
50,Sandhofer Straße
51,Rhenaniastraße
53,Morchfeldstraße
55,
56,Steubenstraße
57,Römerstraße
58,Alte Frankfurter Straße
59,Röntgenstraße
60,Bismarckstraße
61,Neckarauer Straße
63,Schafweide
64,Kloppenheimer Straße
65,Frankenthaler Straße
67,Steubenstraße
68,Floßwörthstraße
69,Morchfeldstraße
72,Neckarauer Straße
74,Rheingoldstraße
75,Kurpfalzkreisel
76,Steubenstraße
77,Waldhofstraße
80,Hafenbahnstraße
81,Auf dem Sand
82,Sonderburger Straße
83,Luisenring
85,
88,Friedrichsring
90,Landteilstraße
93,Wingertsbuckel
94,Speckweg
100,Renzstraße
102,Neckarauer Straße
103,Bismarckstraße
105,Neckarauer Straße
106,Schwetzinger Landstraße
107,Friedrichsring
109,Rollbühlstraße
110,Friedrich-Ebert-Straße
111,Friedrich-Ebert-Straße
112,Rheingoldstraße
114,Steubenstraße
119,Landteilstraße
120,Neckarauer Straße
121,Neckarauer Straße
126,Sonderburger Straße
127,Morchfeldstraße
128,Luisenring
130,Edinger Riedweg
136,Neckarauer Straße
138,Augustaanlage
139,Industriestraße
141,Boveristraße
142,Überlinger Straße
145,Seckenheimer Landstraße
146,Otto-Beck-Straße
147,Seckenheimer Hauptstraße
148,Steubenstraße
150,Frankenthaler Straße
153,Schanzenstraße
156,Röntgenstraße
157,Steubenstraße
158,Röntgenstraße
159,Waldstraße
161,
162,Neckarauer Straße
163,Friedrichsring
164,Kaiserring
165,Offenburger Straße
166,Überlinger Straße
169,Steubenstraße
171,Friedrich-Ebert-Straße
174,Seckenheimer Hauptstraße
177,Sandhofer Straße
178,Theodor-Heuss-Anlage
179,Karl-Feuerstein-Straße
185,Neckarauer Straße
188,Seckenheimer Straße
190,Theodor-Heuss-Anlage
191,Steubenstraße
194,Schwetzinger Straße
198,Friedrich-Ebert-Straße
200,Steubenstraße
201,Waldhofstraße
202,Friedrichsring
203,Untermühlaustraße
204,Mittelstraße
205,Neustadter Straße
206,Cochemer Straße
209,Braunschweiger Allee
210,Rhenaniastraße
211,Rhenaniastraße
213,Friedrich-Ebert-Straße
216,
220,Waldstraße
222,Kaiserring
223,Luzenbergstraße
229,Kaiserring
233,Kloppenheimer Straße
234,Lilienthalstraße
236,Hochuferstraße
237,Lilienthalstraße
239,Luisenring
240,Waldhofstraße
241,Landteilstraße
242,Röntgenstraße
243,Möhlstraße
245,Friedrich-Ebert-Straße
247,Luzenbergstraße
249,Renzstraße
250,Eisenstraße
251,Boveristraße
253,Bismarckstraße
254,Koblenzer Straße
255,Friedrichsplatz
257,Friedrichsring
260,Frankenthaler Straße
261,Neckarauer Straße
262,Sandhofer Straße
264,Möhlstraße
265,Friedrichsring
266,Frankenthaler Straße
268,Käfertaler Straße
269,Waldhofstraße
270,Luisenring
271,Käfertaler Straße
272,Schwetzinger Straße
273,Friedrich-Ebert-Straße
275,Dudenstraße
276,Steubenstraße
277,Frankenthaler Straße
278,Friedrichsring
279,Rhenaniastraße
280,Neckarauer Straße
281,Rhenaniastraße
284,Rhenaniastraße
288,Untermühlaustraße
289,Überlinger Straße
290,Waldhofstraße
291,Diffenéstraße
291,Diffenéstraße
292,Sandhofer Straße
293,Friedrich-Ebert-Straße
294,Friedrich-Ebert-Straße
295,Kaiserring
296,Karlsplatz
297,Rhenaniastraße
301,Neckarauer Straße
302,Seckenheimer Straße
303,Waldstraße
305,Ulmenweg
308,Friedrich-Ebert-Straße
310,Waldstraße
311,Seckenheimer Hauptstraße
312,Luzenbergstraße
313,Friedrichstraße
315,Käfertaler Straße
316,Neckarauer Straße
319,Renzstraße
321,Friedrich-Ebert-Straße
323,Waldstraße
324,Bismarckstraße
327,Friedrich-Ebert-Straße
330,Waldhofstraße
331,Friedrich-Ebert-Straße
337,Diffenéstraße
338,Hauptstraße
340,Heppenheimer Straße
341,Waldhofstraße
342,Magdeburger Straße
343,Schwetzinger Landstraße
346,Rhenaniastraße
347,Steubenstraße
348,Diffenéstraße
348,Diffenéstraße
349,Schwetzinger Straße
350,Friedrichsring
352,Steubenstraße
353,Parkring
355,Friedrich-Ebert-Straße
358,Steubenstraße
359,Luisenring
361,Hauptstraße
363,Steubenstraße
364,Auf dem Sand
366,Luzenbergstraße
372,Wormser Straße
374,Oskar-von-Miller-Straße
379,Viehhofstraße
380,Luisenring
381,Neckarauer Straße
382,Ludwig-Ratzel-Straße
384,
390,Luisenring
391,Theodor-Heuss-Anlage
393,Schwetzinger Straße
394,Friedrich-Ebert-Straße
396,Morchfeldstraße
402,Mannheimer Straße
403,Schienenstraße
404,Sonderburger Straße
407,Neckarauer Straße
408,Lilienthalstraße
412,Schienenstraße
413,Speyerer Straße
414,Luisenring
415,Überlinger Straße
416,Renzstraße
417,Ludwigshafener Straße
419,Meeräckerstraße
423,Kaiserring
428,Steubenstraße
430,Waldstraße
432,
433,Kloppenheimer Straße
434,Mosbacher Straße
435,Morchfeldstraße
436,Parkring
438,Kloppenheimer Straße
439,Königsberger Allee
440,Theodor-Heuss-Anlage
441,Auf dem Sand
442,Waldhofstraße
443,Steubenstraße
444,Käfertaler Straße
446,Kurpfalzbrücke
447,Feudenheimer Straße
449,Neckarauer Straße
451,Waldstraße
453,Dammstraße
454,Lilienthalstraße
455,Waldstraße
459,Wachenburgstraße
460,Kurpfalzbrücke
462,Neckarauer Straße
463,
464,Rhenaniastraße
465,Rollbühlstraße
470,Ulmenweg
470,Ulmenweg
472,Waldstraße
473,Ulmenweg
475,Kurpfalzbrücke
476,Kurpfalzbrücke
478,Augustaanlage
483,Schwetzinger Straße
490,Steubenstraße
492,Essener Straße
494,Mallaustraße
495,Feudenheimer Straße
496,Bismarckstraße
498,Lindenhofstraße
499,Friesenheimer Straße
501,Landteilstraße
506,Goethestraße
507,Parkring
508,Boveristraße
509,Kaiserring
512,Sonderburger Straße
513,Kaiserring
516,Kaiserring
521,Waldhofstraße
525,Steubenstraße
529,Untermühlaustraße
530,Rhenaniastraße
532,Seckenheimer Hauptstraße
536,Kaiserring
537,Parkring
540,Luisenring
541,Feudenheimer Straße
543,
544,Rheingoldstraße
547,Friedrich-Ebert-Straße
548,Kaiserring
550,Theodor-Heuss-Anlage
553,Friedrichsring
554,Friedrich-Ebert-Straße
555,Seckenheimer Straße
557,Schwetzinger Straße
558,Waldhofstraße
559,Bismarckstraße
561,Steubenstraße
562,Sandhofer Straße
563,Friedrich-Ebert-Straße
564,Alte Frankfurter Straße
565,Schwabenstraße
566,Feudenheimer Straße
567,Friedrich-Ebert-Straße
569,Hauptstraße
573,Reichskanzler-Müller-Straße
574,Waldhofstraße
575,Zeughausplanken
581,Sandhofer Straße
582,Neckarauer Übergang
585,Ilvesheimer Straße
587,Waldstraße
588,
589,Landteilstraße
590,Schwetzinger Straße
591,Käfertaler Straße
595,Industriestraße
596,Bismarckstraße
598,Meeräckerstraße
606,Birkenauer Straße
607,Steubenstraße
608,Carl-Benz-Straße
610,Friedrich-Ebert-Straße
612,Helmertstraße
614,Friedrich-Ebert-Straße
615,Friedrich-Ebert-Straße
619,Kaiserring
621,Theodor-Heuss-Anlage
623,Bismarckstraße
624,Renzstraße
626,Lilienthalstraße
629,Seckenheimer Hauptstraße
630,Augustaanlage
631,Bismarckstraße
635,Friedrich-Ebert-Straße
637,Dudenstraße
639,Landteilstraße
640,Neckarauer Straße
642,Waldstraße
644,Offenburger Straße
644,Kapellenstraße
645,Bismarckstraße
646,Friedrich-Ebert-Straße
647,Klingenberger Straße
656,Mallaustraße
657,Mannheimer Straße
659,Waldhofstraße
660,Sonderburger Straße
664,Untermühlaustraße
665,Steubenstraße
666,Relaisstraße
667,Waldhofstraße
670,Sonderburger Straße
678,Schienenstraße
679,Wingertsbuckel
680,Schienenstraße
682,Luisenring
686,Friedrich-Ebert-Straße
687,Steubenstraße
688,Steubenstraße
691,Magdeburger Straße
694,Überlinger Straße
695,Rollbühlstraße
697,Neckarauer Straße
699,Kurpfalzbrücke
700,Friedrich-Ebert-Straße
702,Bismarckstraße
703,Collinistraße
705,Landteilstraße
707,Friedrich-Ebert-Straße
709,Augustaanlage
712,Waldpforte
713,Steubenstraße
714,Theodor-Heuss-Anlage
716,Friedrich-Ebert-Straße
719,Friedrichsring
720,Friedrich-Ebert-Straße
721,Friedrichsring
722,Sonderburger Straße
723,Neckarauer Straße
725,Lilienthalstraße
726,Waldhofstraße
727,Lilienthalstraße
731,Wachenburgstraße
733,Akazienstraße
736,Untermühlaustraße
737,Casterfeldstraße
741,Röntgenstraße
742,Diffenéstraße
742,Diffenéstraße
744,Landteilstraße
749,Rollbühlstraße
752,Floßwörthstraße
753,Sonderburger Straße
755,Wachenburgstraße
756,Seckenheimer Straße
757,
761,Floßwörthstraße
764,Friedrich-Ebert-Straße
766,Friedrich-Ebert-Straße
768,Waldstraße
769,Parkring
771,Luzenbergstraße
774,Lilienthalstraße
775,Friedrich-Ebert-Straße
777,Relaisstraße
778,Weinheimer Straße
782,Friedrichsfelder Landstraße
783,Seckenheimer Hauptstraße
784,Luzenbergstraße
785,Boveristraße
786,Friedrich-Ebert-Straße
788,Feudenheimer Straße
790,Weinheimer Straße
791,Friedrichsplatz
792,Floßwörthstraße
798,Kurpfalzbrücke
800,Boveristraße
804,Floßwörthstraße
807,Waldstraße
808,Kurpfalzkreisel
809,Waldpforte
810,Herzogenriedstraße
811,Möhlstraße
814,Akazienstraße
817,Waldhofstraße
818,Bismarckstraße
819,Kaiserring
821,Alte Frankfurter Straße
823,Neustadter Straße
824,Sonderburger Straße
825,Neckarauer Straße
826,Helmertstraße
828,Friedrich-Ebert-Straße
831,Schwetzinger Straße
832,Mittelstraße
834,Waldstraße
836,Neckarauer Straße
837,Bismarckplatz
841,Carl-Benz-Straße
846,Waldhofstraße
848,Schafweide
849,Alter Frankfurter Weg
849,Viernheimer Weg
850,Neckarauer Straße
855,Neckarauer Straße
856,Möhlstraße
858,Luisenring
861,Wachenburgstraße
864,Friedrichsring
865,Collinistraße
866,Mallaustraße
870,Möhlstraße
871,Friedrich-Ebert-Straße
872,Wingertsbuckel
874,Kurpfalzkreisel
875,Waldhofstraße
876,Speyerer Straße
879,Braunschweiger Allee
881,Waldhofstraße
884,Käfertaler Straße
887,Friedrich-Ebert-Straße
888,Waldhofstraße
889,
890,Waldstraße
892,Suebenheimer Allee
893,Steubenstraße
895,Sandhofer Straße
896,Möhlstraße
898,Karlsternstraße
899,Friedrich-Ebert-Straße
900,Seckenheimer Landstraße
902,Viehhofstraße
904,Neckarauer Straße
906,Neckarauer Straße
909,Friedrich-Ebert-Straße
910,Waldhofstraße
911,Relaisstraße
912,Käfertaler Straße
913,Augustaanlage
919,Wachenburgstraße
923,Meeräckerstraße
924,Sonderburger Straße
925,Boveristraße
935,Augustaanlage
936,Neckarauer Straße
945,Ilvesheimer Straße
946,Kaiserring
949,Luisenring
951,Steubenstraße
954,Friedrich-Ebert-Straße
955,Wallstadter Straße
958,Vogesenstraße
960,Scharhofer Straße
961,Sandhofer Straße
962,Seckenheimer Hauptstraße
963,Heppenheimer Straße
968,
969,Seckenheimer Straße
970,Speyerer Straße
973,Reichskanzler-Müller-Straße
975,Kaiserring
976,Friedrichsring
977,Friedrich-Ebert-Straße
979,Neckarauer Straße
980,Seckenheimer Hauptstraße
982,Kurpfalzkreisel
986,Relaisstraße
989,Theodor-Storm-Straße
990,Renzstraße
991,Friedrichsring
993,Schwetzinger Straße
995,Friedrichsring
996,Sonderburger Straße
1000,Auf dem Sand
1001,Friedrich-Ebert-Straße
1005,Wachenburgstraße
1006,Reichskanzler-Müller-Straße
1007,Seckenheimer Straße
1008,Carl-Benz-Straße
1009,Industriestraße
1011,Augustaanlage
1012,Neckarauer Straße
1018,Käfertaler Straße
1019,Untermühlaustraße
1020,Waldhofstraße
1023,Schienenstraße
1025,Friedrich-Ebert-Straße
1027,Käfertaler Straße
1031,Röntgenstraße
1034,Friedrichsfelder Landstraße
1035,Neckarauer Straße
1038,Friedrich-Ebert-Straße
1039,Friedrichsring
1041,Untermühlaustraße
1044,Friedrich-Ebert-Straße
1046,
1048,Kaiserring
1049,Friedrichsring
1051,Herzogenriedstraße
1052,Seckenheimer Straße
1053,Duisburger Straße
1054,Cochemer Straße
1060,Kurpfalzkreisel
1065,Möhlstraße
1066,Casterfeldstraße
1067,Waldstraße
1068,
1073,Frankenthaler Straße
1076,
1078,Waldpforte
1080,Meeräckerstraße
1084,Neckarauer Straße
1085,Augustaanlage
1087,Friedrich-Ebert-Straße
1088,Luzenbergstraße
1090,Neckarauer Straße
1092,Waldstraße
1093,Waldhofstraße
1096,Inselstraße
1097,Theodor-Heuss-Anlage
1098,Neckarauer Straße
1099,Altriper Straße
1100,Friedrichsring
1101,Neckarauer Straße
1102,Karlsplatz
1104,Friedrichsring
1109,Waldstraße
1113,Harrlachweg
1113,Harrlachweg
1115,Rhenaniastraße
1117,Mannheimer Straße
1119,Neckarauer Straße
1120,Steubenstraße
1121,Kurpfalzkreisel
1122,Morchfeldstraße
1124,Voltastraße
1125,Seckenheimer Hauptstraße
1126,Friedrichsring
1127,Theodor-Storm-Straße
1128,Mannheimer Straße
1130,Friedrich-Ebert-Straße
1131,Morchfeldstraße
1132,Seckenheimer Hauptstraße
1133,Diffenéstraße
1134,Theodor-Heuss-Anlage
1135,Wachenburgstraße
1136,Waldstraße
1137,Essener Straße
1138,Neckarauer Straße
1139,Seckenheimer Landstraße
1140,Neckarauer Straße
1142,Renzstraße
1143,
1145,Neckarauer Straße
1146,Schwetzinger Straße
1147,Käfertaler Straße
1148,Mannheimer Straße
1149,Auf dem Sand
1151,Luzenbergstraße
1152,Boveristraße
1155,Relaisstraße
1156,Steubenstraße
1157,Kurpfalzstraße
1158,Seckenheimer Straße
1159,Ulmenweg
1160,Neckarauer Straße
1163,Speyerer Straße
1164,Waldhofstraße
1165,Käfertaler Straße
1167,Dudenstraße
1168,Schwetzinger Straße
1169,Waldstraße
1171,Schafweide
1174,Neckarauer Straße
1176,Möhlstraße
1178,Waldstraße
1182,Collinistraße
1183,Diffenéstraße
1184,
1187,Auf dem Sand
1188,Carl-Benz-Straße
1189,Parkring
1193,Neckarauer Straße
1194,Maria-Kirch-Straße
1195,Neckarauer Straße
1197,Friedrich-Ebert-Straße
1198,Neckarauer Straße
1199,Waldstraße
1200,Carl-Benz-Straße
1201,Rhenaniastraße
1203,Seckenheimer Hauptstraße
1204,Steubenstraße
1207,Steubenstraße
1208,Schwetzinger Straße
1210,Waldstraße
1211,Frankenthaler Straße
1213,Friedrich-Ebert-Straße
1219,Bismarckstraße
1222,Waldhofstraße
1225,Relaisstraße
1227,Luisenring
1228,Viernheimer Weg
1229,Luisenring
1230,Wachenburgstraße
1232,Sandhofer Straße
1235,Straßenheimer Weg
1236,Schwabenstraße
1238,Friedrichsplatz
1240,Friedrichsring
1241,Goethestraße
1242,Waldstraße
1246,Kaiserring
1248,Augustaanlage
1250,Friedrichsring
1252,Friedrich-Ebert-Straße
1254,Kurpfalzkreisel
1256,Friedrich-Ebert-Straße
1258,Feudenheimer Straße
1260,Kaiserring
1263,Ulmenweg
1264,Schwetzinger Straße
1266,Neckarauer Straße
1267,Josef-Braun-Ufer
1268,Feudenheimer Straße
1269,Waldhofstraße
1272,Freherstraße
1274,Seckenheimer Straße
1277,Feudenheimer Straße
1278,Neckarauer Straße
1279,Waldpforte
1281,Karl-Feuerstein-Straße
1283,Neckarauer Straße
1285,Möhlstraße
1289,Seilerstraße
1290,Schwetzinger Straße
1295,
1296,Neckarauer Straße
1297,Kurpfalzstraße
1299,Bismarckplatz
1300,Steubenstraße
1304,Neckarauer Straße
1305,Bismarckstraße
1308,Morchfeldstraße
1311,Rhenaniastraße
1314,Casterfeldstraße
1315,Steubenstraße
1316,Diffenéstraße
1316,Diffenéstraße
1318,Neckarauer Straße
1319,Friedrich-Ebert-Straße
1320,Friedrich-Ebert-Straße
1321,Steubenstraße
1323,Lindenhofstraße
1324,Auf dem Sand
1325,Zielstraße
1326,Bismarckplatz
1328,Collinistraße
1329,Hinter dem Wolfsberg
1331,Steubenstraße
1332,Friedrich-Ebert-Straße
1333,Waldhofstraße
1335,Luzenbergstraße
1336,Renzstraße
1337,Koblenzer Straße
1338,Kurpfalzkreisel
1342,Dammstraße
1343,Friedrichsring
1344,Schwetzinger Landstraße
1354,Schubertstraße
1355,Alte Frankfurter Straße
1357,Kurpfalzbrücke
1360,Harrlachweg
1364,Hochuferstraße
1365,Wilhelm-Varnholt-Allee
1367,Sonderburger Straße
1368,Friedrichsplatz
1371,Kurpfalzbrücke
1372,Friedrichsring
1373,Schönauer Straße
1374,Oskar-von-Miller-Straße
1375,Sandhofer Straße
1376,Casterfeldstraße
1377,Steubenstraße
1379,Rhenaniastraße
1382,Friedrich-Ebert-Straße
1383,Feudenheimer Straße
1385,Dammstraße
1386,Am Aubuckel
1387,Mittelstraße
1389,Neckarauer Straße
1390,Neckarauer Straße
1393,Waldstraße
1394,Josef-Braun-Ufer
1395,Lilienthalstraße
1396,Steubenstraße
1399,Neckarauer Straße
1400,Bismarckplatz
1402,Neckarauer Straße
1403,Seckenheimer Straße
1404,Wachenburgstraße
1407,Luisenring
1409,Harrlachweg
1410,Waldhofstraße
1415,Sonderburger Straße
1417,Kurpfalzstraße
1419,Hochuferstraße
1423,Neckarauer Straße
1425,Renzstraße
1426,Morchfeldstraße
1429,Wallstadter Straße
1430,Waldhofstraße
1434,Koblenzer Straße
1435,Neckarauer Straße
1438,Speckweg
1441,Waldpforte
1442,Ulmenweg
1444,Kaiserring
1448,Möhlstraße
1451,Friedrich-Ebert-Straße
1453,Dammstraße
1454,Friedrich-Ebert-Straße
1455,Altriper Straße
1456,Augustaanlage
1457,Friedrichsplatz
1458,Schwetzinger Straße
1460,Hochuferstraße
1463,Friedrichsring
1466,Viehhofstraße
1468,Schwetzinger Straße
1470,Hochuferstraße
1476,Friedrich-Ebert-Straße
1477,Friedrichsring
1481,Waldstraße
1482,Waldhofstraße
1483,Schwetzinger Straße
1484,Neckarauer Straße
1485,Reichskanzler-Müller-Straße
1487,Kurpfalzstraße
1488,Schwetzinger Straße
1490,Sonderburger Straße
1491,Friedrich-Ebert-Straße
1492,Friedrichsring
1493,Relaisstraße
1495,Weinheimer Straße
1497,Neckarauer Straße
1499,
1500,Viernheimer Weg
1501,Parkring
1502,Am Messplatz
1503,Alte Frankfurter Straße
1505,Waldhofstraße
1507,Käfertaler Straße
1508,Feudenheimer Straße
1508,Feudenheimer Straße
1510,Friedrich-Ebert-Straße
1511,Friedrich-Ebert-Straße
1513,Casterfeldstraße
1515,Wachenburgstraße
1518,Neckarauer Straße
1519,Augustaanlage
1520,Friedrichsplatz
1521,Mosbacher Straße
1522,Waldhofstraße
1523,Neustadter Straße
1525,Waldstraße
1526,Friedrich-Ebert-Straße
1527,Seckenheimer Straße
1529,Karl-Feuerstein-Straße
1530,Ulmenweg
1532,Käfertaler Straße
1533,Sonderburger Straße
1534,Lindenhofstraße
1535,Am Aubuckel
1538,Theodor-Heuss-Anlage
1541,Friedrichsplatz
1542,Luisenring
1542,Luisenring
1543,Seckenheimer Straße
1545,Steubenstraße
1547,Augustaanlage
1548,Renzstraße
1549,Schwetzinger Straße
1550,Kloppenheimer Straße
1551,Friedrichsplatz
1553,Landteilstraße
1555,Wormser Straße
1556,Lampertheimer Straße
1558,Am Aubuckel
1559,Magdeburger Straße
1560,Zielstraße
1563,Ruhrorter Straße
1564,Neckarauer Straße
1565,Frankenthaler Straße
1566,Waldpforte
1568,Luisenring
1569,Luzenbergstraße
1570,Waldstraße
1571,Viehhofstraße
1572,Friedrichsring
1574,Speckweg
1576,Friedrichsring
1579,Neckarauer Straße
1580,Alte Frankfurter Straße
1582,Augustaanlage
1583,Waldhofstraße
1584,Alte Frankfurter Straße
1586,Seckenheimer Straße
1587,Steubenstraße
1588,Friedrich-Ebert-Straße
1590,Friedrich-Ebert-Straße
1591,Herzogenriedstraße
1592,Neckarauer Straße
1593,Neckarauer Straße
1597,Friedrich-Ebert-Straße
1600,Friedrich-Ebert-Straße
1601,Siebenbürger Straße
1602,Friedrichsplatz
1605,Wattstraße
1606,Karl-Feuerstein-Straße
1607,Möhlstraße
1608,Kloppenheimer Straße
1612,Dudenstraße
1613,Sandhofer Straße
1616,Carl-Benz-Straße
1617,Friedrichsring
1618,Kloppenheimer Straße
1620,Auf dem Sand
1623,Rhenaniastraße
1624,Waldhofstraße
1625,Neckarauer Straße
1627,Auf dem Sand
1628,Lilienthalstraße
1630,Steubenstraße
1631,Hanauer Straße
1632,Seckenheimer Straße
1633,Friedrichsring
1638,Dalbergstraße
1639,Freherstraße
1640,Waldhofstraße
1641,Schienenstraße
1642,Floßwörthstraße
1643,Neckarauer Straße
1645,Friedrichsring
1647,Friedrichsplatz
1648,Dalbergstraße
1650,Rheingoldstraße
1654,Neckarauer Straße
1656,Friedrich-Ebert-Straße
1657,Käfertaler Straße
1659,Steubenstraße
1662,Friedrich-Ebert-Straße
1664,Am Aubuckel
1673,Seckenheimer Hauptstraße
1674,Schienenstraße
1676,Viernheimer Weg
1677,Landteilstraße
1678,Möhlstraße
1679,Theodor-Heuss-Anlage
1681,Neustadter Straße
1683,Herzogenriedstraße
1684,Landteilstraße
1688,Schwetzinger Straße
1689,Kurpfalzbrücke
1690,
1692,Auf dem Sand
1694,Untermühlaustraße
1695,Kurpfalzkreisel
1697,Herzogenriedstraße
1701,Herzogenriedstraße
1704,Schwetzinger Straße
1705,Rohrhofer Straße
1708,Lilienthalstraße
1709,Waldhofstraße
1712,Luisenring
1713,Möhlstraße
1715,
1717,Karlsplatz
1721,Friedrichsplatz
1722,Neustadter Straße
1725,Viehhofstraße
1730,Seckenheimer Straße
1731,Luisenring
1733,Seckenheimer Hauptstraße
1734,Friedrich-Ebert-Straße
1735,Friedrichsring
1739,Oskar-von-Miller-Straße
1742,Kurpfalzkreisel
1745,Dammstraße
1746,Untermühlaustraße
1747,Neckarauer Straße
1750,Luzenbergstraße
1751,Spinnereistraße
1752,Auf dem Sand
1753,Neckarauer Straße
1754,Augustaanlage
1756,Hauptstraße
1761,Relaisstraße
1762,Neustadter Straße
1764,Steubenstraße
1765,Relaisstraße
1766,Sandhofer Straße
1768,Lilienthalstraße
1770,Friesenheimer Straße
1773,Sonderburger Straße
1775,Neckarauer Straße
1779,Maria-Kirch-Straße
1781,Friedrichsring
1782,Alte Frankfurter Straße
1785,Luisenring
1786,Steubenstraße
1787,Auf dem Sand
1788,Röntgenstraße
1790,Frankenthaler Straße
1795,Friedrich-Ebert-Straße
1796,Seckenheimer Straße
1798,Luzenbergstraße
1801,Kurpfalzbrücke
1802,Weinheimer Straße
1803,Frankenthaler Straße
1804,Mannheimer Straße
1806,Carl-Benz-Straße
1807,Steubenstraße
1808,Dammstraße
1812,Friedrich-Ebert-Straße
1814,Schwetzinger Straße
1815,Neckarauer Straße
1817,Schwetzinger Landstraße
1818,Carl-Benz-Straße
1819,
1820,Friedrichsring
1821,Möhlstraße
1823,Waldhofstraße
1824,Möhlstraße
1826,Altriper Straße
1828,Casterfeldstraße
1830,Friedrich-Ebert-Straße
1831,Waldstraße
1832,Otto-Beck-Straße
1834,Rhenaniastraße
1838,Relaisstraße
1840,Seckenheimer Straße
1843,Wachenburgstraße
